epoka;błąd kwantyzacji
1;3.6766641730314262
2;3.5502354380709487
3;3.473494683173982
4;3.4281542503832245
5;3.3980592797461426
6;3.382179064799728
7;3.3732110815393184
8;3.36843663839197
9;3.3658211552971573
10;3.3646881267390643
11;3.3639452332419566
12;3.363677949694953
13;3.3635031453350637
14;3.363513951768041
15;3.363475240030258
16;3.363506632146382
17;3.363473872220638
18;3.363475780517978
19;3.363445558833777
20;3.363416418240238
21;3.3634180228357775
22;3.3633863883836606
