epoka;błąd kwantyzacji
1;0.4529951688689997
2;0.42739835688197825
3;0.42215673379245466
4;0.4209337135478381
5;0.42097084167531457
6;0.4208389124657684
7;0.4208123204741568
8;0.4207156499274624
9;0.4206421580944342
10;0.4206029182678222
11;0.420535856808086
12;0.420436924544204
13;0.4203542258643366
14;0.4202751403521465
15;0.420229413616313
16;0.42018723486706194
17;0.4201597400398489
18;0.42013989202624
19;0.42012594621764415
20;0.4201225563885656
21;0.42011690721908823
22;0.42008646462608673
23;0.42006168928824195
24;0.42005213980188266
25;0.42002721154929246
26;0.4200073314669551
27;0.41999194084543884
